rank,ticker,tradability_score,binary_score,score_liq,pass_liq,score_stab,pass_stab,score_spread,pass_spread,score_range,pass_range,score_vol,pass_vol,median_dollar_vol,cv_dollar_vol,cs_spread,range_median,vol_median,flags
908,BLMN,62.0,3,87.00980392156863,1,91.38071895424837,1,37.66339869281046,0,81.57679738562092,1,12.418300653594772,0,16883625,0.4676,0.005816,0.0491,0.659,WIDE_SPREAD|FAT_TAIL
909,HPF,59.1,3,6.944444444444445,0,98.2843137254902,1,89.99183006535948,1,5.147058823529411,0,95.01633986928104,1,543106,0.4006,0.001358,0.0072,0.0681,LOW_LIQ|FAT_TAIL
910,ETO,58.6,3,11.437908496732026,0,89.54248366013073,1,95.09803921568627,1,12.704248366013072,0,84.23202614379085,1,765889,0.479,0.000696,0.0111,0.1355,LOW_LIQ|NO_SIGNAL
911,NAN,57.8,3,10.375816993464053,0,85.70261437908498,1,92.68790849673204,1,4.493464052287582,0,95.50653594771242,1,707644,0.502,0.001135,0.007,0.0662,LOW_LIQ|NO_SIGNAL|FAT_TAIL
912,DPG,57.4,3,15.277777777777779,0,98.73366013071896,1,71.56862745098039,1,14.460784313725492,0,87.00980392156863,1,999979,0.3881,0.00297,0.0123,0.1136,LOW_LIQ|NO_SIGNAL
913,HPS,56.8,3,13.071895424836603,0,91.17647058823529,1,78.43137254901961,1,9.272875816993464,0,92.07516339869282,1,844091,0.4689,0.002378,0.0089,0.0805,LOW_LIQ
914,ALGT,56.6,3,92.48366013071896,1,50.5718954248366,1,44.36274509803921,0,80.35130718954248,1,15.441176470588236,0,24089055,0.6928,0.005247,0.0474,0.606,WIDE_SPREAD
915,RLTY,56.5,3,13.480392156862745,0,93.62745098039215,1,73.69281045751634,1,15.890522875816993,0,85.62091503267975,1,868439,0.4515,0.002786,0.0131,0.1254,LOW_LIQ|NO_SIGNAL
916,ETB,56.5,3,11.928104575163399,0,84.88562091503267,1,86.9281045751634,1,10.743464052287582,0,88.15359477124183,1,796781,0.5046,0.001647,0.01,0.1029,LOW_LIQ
917,PMO,56.4,3,9.15032679738562,0,86.9281045751634,1,85.2124183006536,1,6.495098039215687,0,94.19934640522875,1,645182,0.494,0.001786,0.0077,0.0718,LOW_LIQ|NO_SIGNAL
918,EVN,56.3,3,12.009803921568627,0,89.62418300653596,1,79.37091503267975,1,10.906862745098039,0,89.54248366013073,1,806388,0.4787,0.00231,0.0101,0.0964,LOW_LIQ
919,CABO,56.1,3,89.7875816993464,1,48.93790849673203,1,44.85294117647059,0,83.98692810457517,1,12.908496732026142,0,19184626,0.708,0.005209,0.052,0.6454,WIDE_SPREAD|FAT_TAIL
